date,headlines
2022-02-07," S&P 500, Nasdaq rise after turbulent week; Peloton surges "
2022-02-07, Wall St set for higher open after a turbulent week 
2022-02-07," Hong Kong shares close flat as energy, financial gains counter losses in tech "
2022-02-07," China stocks rise as markets reopen; infrastructure, energy sectors lead "
2022-02-04, Ready-made reunion dinners come into vogue in China 
2022-02-02, China's JD.com CEO joins billionaire charity rush with $2.3 bln share pledge 
2022-02-02, China's JD.com CEO joins billionaire charity rush with 62-mln share pledge 
2022-02-01, Ex-Goldman Rainmaker Files for One of Hong Kong's First SPACs 
2022-01-31, Ready-made reunion dinners come into vogue in China 
2022-01-27," Corporate Social Responsibility Related News Releases and Story Ideas for Reporters, Bloggers and Media Outlets "
2022-01-27, Hawkish Fed hammers emerging stocks; currencies outside Asia rise 
2022-01-27," China shares, yuan drop after U.S. Fed turns more hawkish "
2022-01-27, LG Energy Solution becomes S.Korea's No.2 firm in stellar stock debut 
2022-01-27, LG Energy Solution becomes S.Korea's No.2 firm in stellar stock debut 
2022-01-27, LG Energy Solution jumps in debut to become S.Korea's second-most valuable 
2022-01-26, LG Energy Solution debuts after $13 trillion frenzy in S.Korea's biggest IPO 
2022-01-25, A metaverse with Chinese characteristics is a clean and compliant metaverse 
2022-01-25," Tech, financials drag Hang Seng lower on Fed jitters and Ukraine anxiety "
2022-01-25," China stocks fall ahead of Fed meeting, Lunar New Year "
2022-01-24," Hawkish Fed bets, Russia-Ukraine tensions weigh heavily "
2022-01-24, Hong Kong shares close lower as tech giants weigh 
2022-01-24," After 160 Years, Standard Bank Goes 99% Digital During Pandemic "
2022-01-24, China shares rise on further policy easing; Hong Kong weighed down by tech stocks 
2022-01-21, Sony seeks new partners for transformative EV project -executive 
2022-01-21, South Korea's IPO boom leaves investment banks short changed 
2022-01-21, China says will probe corrupt behavior behind internet platform monopolies 
2022-01-20," TikTok owner ByteDance's 2021 sales growth 70%, slows yr/yr -sources "
2022-01-20," Virtru Closes $60M Growth Financing Round Co-Led by ICONIQ Growth and Foundry Capital, with Participation from Tiger Global and MC2 "
2022-01-20, TikTok owner ByteDance's revenue growth slowed to 70% in 2021 - sources 
2022-01-20, TikTok owner ByteDance's revenue growth slowed to 70% in 2021 - sources 
2022-01-20, Hong Kong shares jump most in 6 months after China cuts policy rates 
2022-01-20, Stocks end losing streak on China stimulus; all eyes on Turkey c.bank 
2022-01-20, China stocks rise as policy rate cuts lift sentiment 
2022-01-19, Blue Sky Signs Definitive Agreement with EV Technology Group Inc. and Announces Concurrent Financing 
2022-01-19," Chinese regulator denies issuing guidelines on internet giants' investments, fundraisings "
2022-01-19, TikTok owner ByteDance cuts investment team amid China crackdown 
2022-01-19, China state planner to punish monopolies in internet platform industry 
2022-01-19," China wants internet giants to get approval for investments, fundraisings - sources "
2022-01-19, Surging U.S. bonds yields pressure EM assets 
2022-01-19," China wants internet giants to get approval for investments, fundraisings - sources "
2022-01-18, U.S. examining Alibaba's cloud unit for national security risks - sources 
2022-01-18," Shopify, JD.com pair up in China as e-commerce competition intensifies "
2022-01-18, U.S. examining Alibaba's cloud unit for national security risks - sources 
2022-01-18, Hong Kong shares end lower weighed down by tech stocks 
2022-01-18, Russian bonds sink as Ukraine worries mount; EM stocks hit 
2022-01-18, Starbucks ties up with Meituan to bolster presence in crucial China market 
2022-01-18, Stock Selloff Deepens as Treasury Yields Climb: Markets Wrap 
2022-01-18, Starbucks expands delivery services in China with Meituan tie-up 
2022-01-17," Cinda, under Beijing pressure, scraps $944 mln investment in Ant unit -sources "
2022-01-14, U.S.-listed China stocks pick up momentum after a bruising 2021 
2022-01-14, China tightens screws on big money market funds 
2022-01-14, Hong Kong shares close down as tech giants drop; gambling stocks jump 
2022-01-14," China stocks fall on real estate sector worries, COVID-19 outbreaks "
2022-01-12, Saudi Wealth Fund Plans to Buy $10 Billion in Stocks in 2022 
2022-01-12," HempFusion CBD, In exclusive partnership with Verdant Nature LLC Achieves Major Regulatory Milestone, Ready to Drive Significant Revenue Growth at Retail "
2022-01-12," Stocks, FX rise after Fed's Powell calms hawks "
2022-01-11, Hong Kong shares close unchanged; Fed policy in focus 
2022-01-11," China stocks fall as virus worries, Fed rate hike bets weigh; Hong Kong up "
2022-01-10, JPMorgan to boost Asia private banking headcount by over 100 this year - sources 
2022-01-07," Stocks, Russian rouble, Kazakh bonds rise "
2022-01-06, Currencies fall after Fed signals quicker tightening; Kazakh bonds slide further 
2022-01-06, Hong Kong shares end higher on tech boost 
2022-01-06, Tencent's WeChat App Keeps Growing Despite Beijing Crackdown 
2022-01-06," China stocks fall after hawkish Fed minutes; property, consumption drop "
2022-01-05, World's richest 500 people gained over US$1 trillion in 2021 
2022-01-05, Futures dip as tech stocks extend fall; Fed minutes eyed 
2022-01-05, Wall Street futures mixed ahead of Fed meeting minutes 
2022-01-05, Futures subdued as tech stocks extend fall; Fed minutes awaited 
2022-01-05," Stocks break four-day winning streak as Tencent, Alibaba slip "
2022-01-05," Stocks break four-day winning streak as Tencent, Alibaba slip "
2022-01-05, Tech sector weakness drags Hong Kong shares lower 
2022-01-05, Stock market optimism falters; higher U.S. yields hit tech stocks 
2022-01-05, Tech weakness drag Hong Kong shares lower 
2022-01-05," Rupiah, S.Korean won weaken as Fed rate view supports dollar "
2022-01-05, China shares fall on tech weakness; China Mobile edges higher in Shanghai debut 
2022-01-05," Rupiah, S.Korean won weaken as Fed rate view supports dollar "
2022-01-05, Asian shares skid as rising U.S. yields hit tech stocks 
2022-01-05, China shares fall on tech weakness; China Mobile up in Shanghai debut 
2022-01-04, Charlie Munger's Daily Journal nearly doubles stake in China's Alibaba 
2022-01-04, China to order cybersecurity reviews for some firms seeking overseas listings 
2022-01-04, China to order cybersecurity reviews for some firms seeking overseas listings 
2022-01-04, China to order cybersecurity reviews for some firms seeking overseas listings 
2022-01-04, China to order cybersecurity reviews for some firms seeking overseas listings 
2021-12-31," Global Markets in 2021: Recoveries, reflation and wrecking balls "
2021-12-31, China Accuses Walmart of  'Stupidity' Over Missing Xinjiang Goods 
2021-12-30, Assets in IShares ESG fund drop 91% after biggest investor reduces ownership 
2021-12-29," The Winners and Losers in Japan's Stock Market, and What to Watch in 2022 "
2021-12-29, The 'VIE' structure helping Chinese firms float abroad 
2021-12-29, Hong Kong shares close down as tech giants weigh 
2021-12-29," China stocks fall in cautious trading; liquor, chipmakers slump "
2021-12-28, China's Ant Group to close crowdfunded medical aid service 
2021-12-28, China's Ant Group to close crowdfunded medical aid service 
2021-12-28," Asian shares rise, yen slides as traders shrug off Omicron fears and buy risk "
2021-12-28," China stocks edge up on new energy gains, rising COVID cases weigh "
2021-12-28," Asian shares rise, yen falls as traders shrug off Omicron fears "
2021-12-25, China's offshore listing rules seen easing market uncertainty 
2021-12-25, China's offshore listing rules should reduce market uncertainty 
2021-12-24, China proposes tighter rules but no ban for offshore listings 
2021-12-24, Record IPO binge in 2021 leaves investors hung over 
2021-12-24, Investors hunt for battered Hong Kong shares after crackdowns 
2021-12-23, Tencent hands shareholders $16.4 bln windfall in the form of JD.com stake 
2021-12-23, Tencent hands shareholders $16.4 bln windfall in the form of JD.com stake 
2021-12-23, Tencent shareholders get $16.4 bln windfall as JD.com stake given as dividend 
2021-12-23, Tencent to give $16.4 bln JD.com stake to shareholders as dividend 
2021-12-22, Meet HempFusion: A company harnessing the power of whole-plant nutrition 
2021-12-22, Valuations of Brazilian companies listed or looking to list in U.S. 
2021-12-22, China regulator suspends cyber security deal with Alibaba Cloud 
2021-12-22," Global Markets in 2021: Recoveries, reflation and wrecking balls "
2021-12-21, SoftBank to borrow $4 bln from Apollo-led group 
2021-12-21," HK shares rise, led by property; Live-streaming stocks drop "
2021-12-21, China shines regulatory spotlight on livestream retail boom as crackdown claims biggest star 
2021-12-21," China, HK stocks rise on property rebound; livestreaming platforms drop "
2021-12-20," Tech, finance stocks drag Hong Kong shares to 21-month low "
2021-12-19, China to tighten antitrust legal enforcement - new antitrust bureau head 
2021-12-18, IPOs in Asia Face Headwinds After Record Year of Fundraising 
2021-12-17, Alibaba pledges overseas e-commerce focus as its China growth slows 
2021-12-17, Alibaba Group Announces Carbon Neutrality Goal by 2030 
2021-12-17," Stay, swap or shed: Investors brace for delisting of U.S.-listed China stocks "
2021-12-16, Major tech companies struggle to plug holes in logging software 
2021-12-16," No one's losing faith over open source software despite Log4Shell, says expert "
2021-12-15, EU Parliament backs tough new rules to rein in U.S. tech giants 
2021-12-15, Hong Kong shares end lower as healthcare stocks slump 
2021-12-15, China bluechips fall as consumer staples weigh; Hong Kong gains 
2021-12-15," U.S. cybersecurity officials see mainly low-impact attacks from logging flaw, so far "
2021-12-14," Megaport Virtual Edge, Megaport's On-demand NFV Service, Brings Branch-to-Cloud Connectivity to VMware SD-WAN Customers "
2021-12-14, HempFusion Launches Project OPTIMIZE to Drive $4 Million of Annual Savings 
2021-12-13, Widely used software with key vulnerability sends cyber defenders scrambling 
2021-12-13, Widely used software with key vulnerability sends cyber defenders scrambling 
2021-12-13, Vietnam's Masan eyes international IPO for retail unit in 2023-2024 
2021-12-11, Xi's New China Has Investors Moving From Luxury to Low-End Goods 
2021-12-10," China's chip conglomerate Unigroup gets state-backed investors, Alibaba out of deal "
2021-12-10, Playgon Games Inc. (TSX.V: DEAL) (OTCQB: PLGNF) Laser Focused on B2B iGaming Market 
2021-12-10," HK shares close lower as Evergrande woes, fresh lockdowns weigh "
2021-12-08," Alibaba's e-commerce empire under threat from Douyin, Pinduoduo "
2021-12-08," Hong Kong shares edge up, Alibaba caps gains "
2021-12-08, Europe Warned of National Security Risk From China Chip Advances 
2021-12-08, China stocks extend gains fueled by monetary easing; Hong Kong slips 
2021-12-07, Bulls take charge as Omicron concerns ease 
2021-12-07, Bulls take charge as Omicron concerns ease 
2021-12-07, Bulls charge back as Omicron concerns ease 
2021-12-07, Bulls back in charge as Omicron worries wane 
2021-12-07, Bulls back in charge as Omicron worries wane 
2021-12-07, Bulls back in charge as Omicron worries wane 
2021-12-07, China stocks rise on monetary easing; Evergrande woes in focus 
2021-12-07, China stocks rise as investors cheer monetary easing 
2021-12-07, China stocks rise as investors cheer monetary easing 
2021-12-06," European, U.S. stocks stage tentative rebound "
2021-12-06," European stocks, U.S. futures stage tentative rebound "
2021-12-06," Stocks fall on Chinese tech losses, real estate jitters return "
2021-12-06," European stocks, U.S. futures stage tentative rebound "
2021-12-06, Hong Kong stocks end at 14-month low as tech giants weigh 
2021-12-06," Stocks fall on Chinese tech losses, South African rand leads FX gains "
2021-12-06," Asian stocks, FX mixed on Omicron concerns; Indonesian rupiah drops "
2021-12-06," Alibaba overhauls e-commerce businesses, names new CFO "
2021-12-06," Alibaba overhauls e-commerce businesses, appoints new CFO "
2021-12-06," Alibaba overhauls e-commerce businesses, appoints new CFO "
2021-12-06, SoftBank shares slide 9% as portfolio upside evaporates 
2021-12-06, Alibaba appoints Toby Xu as new chief financial officer 
2021-12-06, Alibaba names Toby Xu as CFO 
2021-12-06, Alibaba Group Announces CFO Succession 
2021-12-04," After Calling China's Crackdown, This Fund Is Going Big on Solar "
2021-12-03, Didi shares plunge more than 20% on plan to delist from NYSE 
2021-12-03, U.S.-listed Chinese shares take a hit as Didi to exit NYSE 
2021-12-03, U.S.-listed Chinese shares take a knock as Didi to exit NYSE 
2021-12-03, Hong Kong shares end lower on Didi delisting; HKEx surges 
2021-12-03, Didi Global's short-lived journey as a U.S.-listed company 
2021-12-03, Hong Kong stocks drop on Didi delisting; China shares rise 
2021-12-02, U.S. FTC sues to block Nvidia deal to buy Arm 
2021-12-02," Hong Kong shares close higher on financials, property strength "
2021-12-02, Strategic Business Update - Acquisition of Precise-ITC and completion of major milestones for China Product Partnership 
2021-12-02, China stocks rise as real estate firms gain; Hong Kong up 
2021-12-01, Hong Kong shares close higher on bargain hunting 
2021-12-01, China stocks edge higher; Hong Kong rebounds on bargain hunting 
2021-11-30," Hong Kong shares at over 1-year low on Omicron, tech regulatory concerns "
2021-11-30, HK stocks hit one-year low on regulatory fears; China steady 
2021-11-30, China sets rules to safeguard drivers' rights in ride-hailing industry 
2021-11-29, Hong Kong shares end at 1-year low on Omicron concerns; Meituan slumps 
2021-11-26," China c.bank gives go-ahead to credit-scoring venture backed by Ant, state firms "
2021-11-26," Hong Kong shares end at 7-week low on COVID-19 concerns, tech crackdown "
2021-11-26, China steps up pressure on tech with draft online ad rules 
2021-11-26," Nikkei sinks to one-month low on new virus variant, China tech crackdown news "
2021-11-26, China stocks fall as COVID-19 concerns weigh on sentiment 
2021-11-25," Tech reboot lifts shares, dollar takes a breather "
2021-11-25," Hong Kong shares rise as Alibaba, Tencent rebound "
2021-11-25, Asian tech stocks gain while dollar marches on 
2021-11-25," China stocks fall as property, automobiles weigh; Hong Kong gains "
2021-11-24, Investor Warburg cuts Ant valuation by 15% to below $200 bln - source 
2021-11-24," Hong Kong shares gain on Meituan, AIA boost "
2021-11-24, Warburg cuts Ant valuation by 15% to below $200 bln - source 
2021-11-24," China stocks slip as new energy, agriculture firms weigh "
2021-11-23, EU's Vestager cheers as lawmakers vote for tougher tech laws 
2021-11-23," China tells Alibaba, Baidu cloud units to better prevent telecoms fraud "
2021-11-23, EU's Vestager cheers as lawmakers vote for tougher tech laws 
2021-11-23," China tells Alibaba, Baidu cloud units to better prevent telecoms fraud "
2021-11-23, Tech firms drag Hong Kong shares; property developers gain 
2021-11-23, China stocks rise on hopes of more economic support; Hong Kong down 
2021-11-22, Tech giants drag Hong Kong shares lower 
2021-11-19," Proactive news headlines including Alibaba, Fireweed Zinc, Sigma Lithium, Todos Medical and MedX "
2021-11-19, L'Oreal offers vouchers to end spat with China's 'lipstick brother' 
2021-11-19," Europe lockdown fears rattle investors, spark dash for safe-havens "
2021-11-19, Lira rebound proves short-lived; Polish zloty at 12 year lows 
2021-11-19," Europe lockdown fears knock stocks, spark dash for bonds "
2021-11-19, SenseTime gets go ahead for Hong Kong IPO - sources 
2021-11-19, World stocks struggle near record highs; Europe in focus 
2021-11-19, Alibaba weighs on EM shares; Turkish lira firms after rout 
2021-11-19," Hong Kong shares down on Alibaba, losses limited by property "
2021-11-19," Asian FX fall as dollar firms, Indonesia shares hit record high "
2021-11-19," Nikkei rises on chipmakers, energy boost; SoftBank drops "
2021-11-19," Nikkei rises on chipmakers, energy boost; SoftBank drops "
2021-11-19, Asia sits out equities rally as Alibaba slides 
2021-11-19," Asian FX down with Korean won falling the most, Indonesia stocks jump 1% "
2021-11-19," China stocks edge higher, Alibaba drags Hong Kong shares lower "
2021-11-19, Aluminium jumps on supply worries after report of China smelter blast 
2021-11-19," Nikkei rises on chipmakers, energy boost; SoftBank drops "
2021-11-19, Asian shares down as Alibaba's slide reignites China worries 
2021-11-18, L'Oreal says has resolved Singles Day shopping spat 
2021-11-18," S&P, Nasdaq tick higher as strong earnings outweigh inflation fears "
2021-11-18, Paytm CEO's Fixation on Delivering a Record IPO Led to a First-Day Flop 
2021-11-18," S&P, Nasdaq rise on strong results from Nvidia, retailers "
2021-11-18," Posthaste: Move over boomers, a new millennial baby boom could be on its way "
2021-11-18," Stocks shine once again, Turkey's lira plunges on rate cut "
2021-11-18, U.S. Futures Rise Amid Lower-for-Longer Rate Bets: Markets Wrap 
2021-11-18, Investors pivot to India after China's tech crackdown 
2021-11-18," Stocks, dollar pause their climbs; lira locked in tailspin "
2021-11-18," Hong Kong shares close down as tech, property weigh "
2021-11-18," Stocks dip, oil slides and havens shine as growth nerves nag "
2021-11-18, China's top livestreaming sales stars in dispute with L'Oreal 
2021-11-18, Hong Kong stocks fall as tech giants slump; China shares down 
2021-11-18," Stocks dip, oil slides and havens shine as growth nerves nag "
2021-11-18, Paytm's Sharma goes from 'ineligible' bachelor to billionaire 
2021-11-17, EU lawmakers agree on rules to target big tech- FT 
2021-11-17, Tech giants drag Hong Kong shares lower ahead of earnings 
2021-11-17," China Founders Now Have 'You Can't Kill Me' Attitude, VC Says "
2021-11-17, Shanghai stocks edge higher as non-ferrous metals firms gain 
2021-11-16, NetEase restarts Hong Kong IPO of music streaming business Cloud Village 
2021-11-16," Saudi PIF nearly triples U.S. stock holdings; adds Walmart, Pinterest "
2021-11-15, Megaport Virtual Edge Brings Branch-to-Cloud Connectivity with the Aruba EdgeConnect SD-WAN Platform 
2021-11-15," Saudi PIF nearly triples U.S. stock holdings; adds Walmart, Pinterest "
2021-11-15, Saudi Wealth Fund Bets on E-Commerce and Clean Energy Companies 
2021-11-15," Saudi PIF nearly triples U.S. stock holdings; adds Walmart, Pinterest "
2021-11-15," Saudi PIF nearly triples U.S. stock holdings; adds Walmart, Pinterest "
2021-11-15, HempFusion Reports Strong Q3 2021 Financial Results 
2021-11-15, Insurer AIA and tech giants lead Hong Kong shares up 
2021-11-15, China stocks fall as slowing property sector weighs on economic outlook 
2021-11-12, Wall Street ends higher with boost from big tech 
2021-11-12, Wall Street ends higher with boost from big tech 
2021-11-12," Wall Street advances, powered by big tech "
2021-11-12," Proactive news headlines including Alibaba, KWESST, CULT Food Science, Therma Bright and Emmaus Life Sciences "
2021-11-12," Wall Street powers higher on J&J, Big Tech boost "
2021-11-12," Wall Street rises on J&J, Big Tech boost "
2021-11-12," Wall Street rises on J&J, Big Tech boost "
2021-11-12, China's Singles' Day loses luster as growth slumps to single digit amid crackdown 
2021-11-12," Wall Street set for higher open on J&J, Big Tech gains "
2021-11-12," Futures edge higher on boost from J&J, tech stocks "
2021-11-12, Tech giants shore up Hong Kong shares; Alibaba down 
2021-11-12, China's Singles' Day loses luster as growth slumps to single digit amid crackdown 
2021-11-12," Alibaba's Singles Day sales grow just 8.5%, slowest pace ever "
2021-11-12, Chinese state newspaper blasts 'worship of turnover' after Alibaba's Singles Day 
2021-11-11, Alibaba Singles' Day sales hit fresh record of $84.5 billion 
2021-11-11, Alibaba Singles' Day Posts Record Sales 
2021-11-11, Alibaba takes in $84.54 billion in orders in toned-down Singles Day 
2021-11-11, Alibaba 2021 11.11 Global Shopping Festival Delivers Steady Growth 
2021-11-11, Alibaba spotlights social welfare in last hours of toned-down Singles' Day shopping fest 
2021-11-11, Indonesia's GoTo raises $1.3 bln ahead of local IPO amid tech boom 
2021-11-11, U.S. Stocks Rebound With Consumer Prices in Focus: Markets Wrap 
2021-11-11, Brands rake in millions as Alibaba's toned-down Singles' Day enters last stretch 
2021-11-11, Brands rake in millions as Alibaba's Singles' Day enters last stretch 
2021-11-10," Rivian valued at over $100 bln in debut, after world's biggest IPO of 2021 "
2021-11-10, China's Alibaba kicks off final hours of Singles' Day shopping event 
2021-11-10," HempFusion Wellness Inc. To Report Third Quarter 2021 Earnings and Host Conference Call on Monday, November 15, 2021 "
2021-11-10, U.S. Stocks Extend Slide; Bonds Fall on Auction: Markets Wrap 
2021-11-09, SoftBank shares jump 11% on $9 bln buyback 
2021-11-09, Treasuries Rise on Fed Speculation; Stocks Fall: Markets Wrap 
2021-11-09, SoftBank shares jump 10% on $9 bln buyback 
2021-11-09, SoftBank shares jump 10% on $9 bln buyback 
2021-11-08, Superyachts enjoy pandemic tailwind as rich seek zen at sea 
2021-11-08, Tech and healthcare firms drag Hong Kong shares lower 
2021-11-08, Stocks Continue Streak of Gains; Treasuries Fall: Markets Wrap 
2021-11-06," Chips, Coal and Property Top China Traders' Plenum Watch List "
2021-11-05," EV maker Rivian boosts IPO price range, aims for $65 bln valuation "
2021-11-05," EV maker Rivian boosts IPO price range, aims for $65 bln valuation "
2021-11-05, Alibaba's Tsai says no plans to sell South China Morning Post - memo 
2021-11-05, Selfridges Considered Carve-Out of E-Commerce Business 
2021-11-05, Alibaba's Tsai says has no plans to sell SCMP - memo 
2021-11-05, Chinese government-backed firm weighing up offer to buy SCMP from Alibaba- Bloomberg 
2021-11-05," Jack Ma, Trump and Xi: How Chinese billionaire flew close to the sun "
2021-11-05, HSBC and tech giants drag Hong Kong stocks lower 
2021-11-05, Shanghai shares fall as coal miners drop amid measures to rein in coal prices 
2021-11-04," Jack Ma, Trump and Xi: How Chinese billionaire flew close to the sun "
2021-11-04, HempFusion Launches Ingestible and Topical CBD Products into Another Top 15 US Supermarket Chain 
2021-11-04, Hong Kong shares track Wall Street gains to end higher 
2021-11-04, Workplace Technology Dividend Fund Announces Exchange Ratios 
2021-11-03," Tencent flags progress on three chips in development, investment effort "
2021-11-03," ByteDance founder Zhang Yiming steps down as chairman, leaves board - source "
2021-11-03, China stock pickers reshape portfolios on Xi's 'common prosperity' 
2021-11-02," Yahoo leaves China for good, cites 'challenging' environment "
2021-11-02," Yahoo latest to leave China for good, blaming 'challenging' environment "
2021-11-02, Looks like Warren Buffett hasn't lost his touch after all 
2021-11-02, China stock pickers reshape portfolios on Xi's 'common prosperity' 
2021-11-02," Philippines' Mynt secures $300 million from Warburg Pincus, other investors "
2021-11-01, EV startup Rivian could be worth nearly as much as Honda in U.S. IPO 
2021-11-01," Hong Kong shares close lower as tech, healthcare stocks weigh "
2021-11-01, From splurge to 'common prosperity': Alibaba tones down Singles Day 
2021-11-01, China's blue-chip shares fall on hit from recent COVID-19 outbreaks 
2021-10-29, China's Kuaishou says co-founder Su Hua to step down as chief executive 
2021-10-29, China proposes guidelines on internet platform responsibilities 
2021-10-29, Alibaba-backed Best to sell China express delivery business in $1.1 bln deal 
2021-10-29, Alibaba-backed Best to sell China express delivery business in $1.1 bln deal 
2021-10-29, China proposes guidelines on internet platform responsibilities 
2021-10-28, HempFusion Launches Ingestible and Topical CBD Products into Major Arizona Grocer 
2021-10-27, Alibaba founder Jack Ma smells the orchids on Dutch horticulture tour 
2021-10-27," Tech, healthcare firms drag Hong Kong shares lower "
2021-10-27," Bottled water, vaccines and electric vehicles propel China's biggest earners "
2021-10-26, Tech and property firms dragged Hong Kong stocks lower 
2021-10-26, Property sector weighs on China stocks; lira rallies 
2021-10-26," EU tech rules should curb cloud computing providers, study says "
2021-10-26, China stocks inch higher on IT gains; Hong Kong slips 
2021-10-25," EU tech rules should curb cloud computing providers, study says "
2021-10-25," Cat Rock Capital Sends Letter to Just Eat Takeaway.com (""JET"") Board Urging Sale or Spin-Off of Grubhub by End of 2021 "
2021-10-23, China to pilot property tax scheme in some regions -Xinhua 
2021-10-22, Investors denied their Ever-grande finale...for now 
2021-10-22, China Markets Begin Turnaround After Being Priced for Collapse 
2021-10-21, Who's Mark Scheinberg? Meet the Canadian billionaire who made his fortune on poker and is now returning to his first passion 
2021-10-21, China's 'Lipstick Brother' Livestream Has Record $2 Billion Day 
2021-10-20," Bitcoin ETF Debut Didn't Draw Retail Trader Interest, Vanda Says "
2021-10-20, Alibaba founder Ma spotted in Mallorca in rare trip abroad after China scrutiny 
2021-10-20, HempFusion Subsidiary Sagely Naturals Launches Into Top 10 US Retailer 
2021-10-20, HK stocks hit near 6-week high on tech boost 
2021-10-20, HK stocks hit near 6-week high on tech boost; China market range-bound 
2021-10-20, S&P 500 Almost Tops Record Amid Recovery Bets: Markets Wrap 
2021-10-20, Chinese hot pot chain Haidilao slows growth as COVID-19 curbs consumer appetite 
2021-10-19, The BluePallet MarketPlace is Now Open to Alibaba.com 
2021-10-19, Lydia AI Raises $8 Million in Series A+ Funding Round to Insure the Next Billion People 
2021-10-19, Alibaba's Ma in Europe on study tour- SCMP 
2021-10-19, Seafair raises $5.7M to build the future of maritime recruitment 
2021-10-19, Frozen potatoes vs turkey: Patriotic Chinese-made war epic tops global box office 
2021-10-19, Tech giants drive Hong Kong shares to five-week high 
2021-10-19," China stocks rise on consumption, agri boost; HK up "
2021-10-17, China to keep up scrutiny of internet sector - Xinhua 
2021-10-17, Down Is Still Up for Foreign Investors Piling Into China 
2021-10-15," China to encourage development of pensions, insurance for delivery sector "
2021-10-14, HempFusion Appoints Maria Leal as Chief Financial Officer 
2021-10-14, Chinese tech workers disclose working hours in criticism of '996' 
2021-10-13, China readies plan to elevate status of antitrust unit - sources 
2021-10-12, Billionaire Alibaba founder Jack Ma reappears in Hong Kong - sources 
2021-10-12, China launches new round of graft busting in finance sector 
2021-10-12," Following the Passage of California's Assembly Bill 45, HempFusion Plans Retail Expansion "
2021-10-12, Hong Kong shares close lower as tech giants drag 
2021-10-12, China launches anti-graft campaign in finance sector by inspecting banking regulator 
2021-10-12, China stocks fall as coal companies weigh; HK down 
2021-10-11, Xi Jinping inspects ties between Chinese financial companies and private firms - WSJ 
2021-10-11, Hong Kong shares hit four-week high as tech giants rally 
2021-10-11," Hong Kong tech rally supports stocks, FX recovers slightly "
2021-10-11, Hong Kong shares hit four-week high as tech giants rally; China up 
2021-10-11, China's Ant Group increases registered capital by 47% to $5.4 bln 
2021-10-08, Hong Kong shares close 0.6% higher as tech and financial stocks gain 
2021-10-08," China stocks rise on strong services data, easing Sino-U.S. tensions "
2021-10-07, Chinese markets return from break to more Evergrande angst 
2021-10-07," Stocks rally as stagflation fears, energy prices ease "
2021-10-07, Wall Street ends with solid gains; investors hail U.S. debt-ceiling truce 
2021-10-07, Wall Street ends with solid gains; investors hail U.S. debt-ceiling truce 
2021-10-07, Stocks rise as stagflation fears and energy prices ease 
2021-10-07, Who's Anthony von Mandl?: Meet the billionaire who made a fortune with genre-defying alcoholic drinks 
2021-10-07, Traders Hold Breath as China Markets to Reopen After Holiday 
2021-10-07, China Tech Gauge Posts Best Day Since August After Touching Lows 
2021-10-07," Hong Kong shares track Asia peers higher; tech rebounds, property up on housing plans "
2021-10-07," Hong Kong shares track overseas peers higher, property jumps on housing plans "
2021-10-06, Fund giant Fidelity putting 'money to work' in China after rout 
2021-10-06, Fund giant Fidelity putting 'money to work' in China after rout 
2021-10-06, Hong Kong stocks track Asian peers lower unfazed by CEO Carrie Lam's policy address 
2021-10-06, Hong Kong stocks track Asian peers lower amid CEO Carrie Lam's policy address 
2021-10-05," Stocks at 6-week low, Chinese property bonds slammed by default woes "
2021-10-05, HempFusion Closes Oversubscribed US$2.94 Million Private Placement 
2021-10-05," Stocks hit near six-week low on China concerns, tech rout "
2021-10-05, Nikkei slides to 1-month low as inflation fear hits growth stocks 
2021-10-05, Nikkei slides to 1-month low as inflation fear hit growth stocks 
2021-10-01, Top investors split on direction of 'tempestuous' China's markets 
2021-09-30, China Tech Stocks Fall as State Media Fans Clampdown Concerns 
2021-09-30," Crypto-buying hamster beats market, Quadriga gets Netflix treatment and guilty plea pre-empts Griffith trial "
2021-09-30, Hong Kong shares dragged down by tech sell-off on planned algorithm rules 
2021-09-30, China stocks rise as power-intensive sectors rebound 
2021-09-29," Its core business shattered, Huawei seeks new ways to remain relevant in 5G space "
2021-09-28," China, HK shares rise as real estate stocks jump on cenbank promise "
2021-09-28, Alibaba apps start offering WeChat Pay option after government orders 
2021-09-26," Chinese tech execs support 'common prosperity', helping SMEs at internet summit "
2021-09-24," China Oversees Accounts, No Payment: Evergrande Update "
2021-09-24, Crackdown-hit Alibaba to divest 5% stake in Chinese broadcaster 
2021-09-23, Real estate stocks lead Hong Kong shares higher on Evergrande assurances 
2021-09-23," China stocks rise, Evergrande's assurances lift real estate "
2021-09-22, Who are the Saputos?: Meet the Quebec billionaire family thriving on North America's love affair with pizza and mozzarella 
2021-09-22, Ant Group's micro loan service Huabei begins to share data with China's central bank 
2021-09-21, Posthaste: The new minority Trudeau government must get to work on these five economic issues — immediately 
2021-09-21," Evergrande woes hit Japan's toilet, air-conditioner and paint manufacturers "
2021-09-20, David Rosenberg: Why Evergrande's debt crisis is important for investors here 
2021-09-20, Didi co-founder Liu told associates she plans to leave - sources 
2021-09-20, Didi co-founder Liu told associates she plans to leave- sources 
2021-09-19, China defends clampdown on tech firms in a meeting with Wall St execs - Bloomberg News 
2021-09-17, Investors brace for a great fall in China 
2021-09-17, HempFusion Announces Increase to Private Placement 
2021-09-17," Tencent bows to regulator, allows WeChat users access to rivals' links "
